registry_embedding_id,registry_record_id,object_embedding_id,view_profile,embedding_model_id,text_hash,embedded_text,embedding,metadata
regemb_525c9a14b6dc8447bd270362,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.const.py_const_scripts_aidevobserver_pypi_source_scan_source_candidates_file,,planning,canonical_embedding_pending,2c66d882640f91a7168631912be1264888b8453970530f41a51c8200f98e8dba,40 aidevobserver artifact as at before candidate candidates code compose const dag enrich evidence file generated graph information kind primitive promotion prove py pypi python real repo scan scripts searchable source step symbol task to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_38ba4fc5b2c2bc338fefb9af,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.const.py_const_scripts_aidevobserver_pypi_source_scan_primitive_drafts_file,,planning,canonical_embedding_pending,62af8aad7e4535e879787e7a27b66189ef772fe46b48e4f7f82f241780d2b5f8,41 aidevobserver artifact as at before candidate code compose const dag drafts enrich evidence file generated graph information kind primitive promotion prove py pypi python real repo scan scripts searchable source step symbol task to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_909d220d3aff7e2b6d2a0d90,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.const.py_const_scripts_aidevobserver_pypi_source_scan_pypi_json_url,,planning,canonical_embedding_pending,e20958524caa2c5adbf17dab764486873ec6f64dedceff49578ef8608ae95f76,42 aidevobserver artifact as at before candidate code compose const dag enrich evidence generated graph information json kind primitive promotion prove py pypi python real repo scan scripts searchable source step symbol task to url use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_b8ff309f1e10e477ef6a43dd,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.const.py_const_scripts_aidevobserver_pypi_source_scan_user_agent,,planning,canonical_embedding_pending,99ecb605f56871b599510edf2d9eedf3d6242e08261eb74eb639ee5eafdb260a,43 agent aidevobserver artifact as at before candidate code compose const dag enrich evidence generated graph information kind primitive promotion prove py pypi python real repo scan scripts searchable source step symbol task to use user value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_5b6fe23b29e30da8e9db78ea,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.const.py_const_scripts_aidevobserver_pypi_source_scan_common_python_packages,,planning,canonical_embedding_pending,e4e318326071fec6c0d5d9e5ea6d29aa8f1ff7bba835b844d82a0c6dfae3bb7a,45 aidevobserver artifact as at before candidate code common compose const dag enrich evidence generated graph information kind packages primitive promotion prove py pypi python real repo scan scripts searchable source step symbol task to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_c7f7bef066c01baf5f226cb6,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.const.py_const_scripts_aidevobserver_pypi_source_scan_capability_hints,,planning,canonical_embedding_pending,b04b9403836a360ff2fd4ab2803b6b4180668ce9ea454755b4644ef641382d0d,62 aidevobserver artifact as at before candidate capability code compose const dag enrich evidence generated graph hints information kind primitive promotion prove py pypi python real repo scan scripts searchable source step symbol task to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_2f65a91bd32f68e6e5729723,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.function.py_function_scripts_aidevobserver_pypi_source_scan_utc,,planning,canonical_embedding_pending,44db77685cd0d772f2aad388b7cd924282479b4f1812443ce0a116944bb88b92,80 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence function generated graph information inventory kind logs not observed or parameters primitive promote promotion proof prove py pypi python real reason receipts repo return scan scripts searchable signature source step symbol task to use utc,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_18451825731f2085676fdca8,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.function.py_function_scripts_aidevobserver_pypi_source_scan_canon,,planning,canonical_embedding_pending,996479ec96e817d510488f07e23550603fb4d514502deaffcf99212895ceac37,84 after aidevobserver artifact as at before callable candidate canon code compose dag does enrich evidence function generated graph information inventory kind line logs name not observed or parameter parameters primitive promote promotion proof prove py pypi python real reason receipts repo required return scan scripts searchable signature source step symbol task to true use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_4cfc5ffc4c194ee7e2500f5a,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.function.py_function_scripts_aidevobserver_pypi_source_scan_sha,,planning,canonical_embedding_pending,cc8d096d0fec7073d892ce79eeff311da9c085bb9409ab72a46bfc3161db0b34,88 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence function generated graph information inventory kind line logs name not observed or parameter parameters primitive promote promotion proof prove py pypi python real reason receipts repo required return scan scripts searchable sha signature source step symbol task to true use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_66bfbf1dec44c8354471aa6b,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.function.py_function_scripts_aidevobserver_pypi_source_scan_slug,,planning,canonical_embedding_pending,5c8f75089cc99fa237947f2f69c29c8a252e3055cb04edf476057cc98f5ff63d,93 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence function generated graph information inventory kind line logs name not observed or parameter parameters primitive promote promotion proof prove py pypi python real reason receipts repo required return scan scripts searchable signature slug source step symbol task text to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_784a5979c4f5727f2e232bdc,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.function.py_function_scripts_aidevobserver_pypi_source_scan_read_jsonl,,planning,canonical_embedding_pending,cdbacb6a403322537c4d6e74aea6f574bf3f9008f395443c8f80808b90fa2e50,100 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence function generated graph information inventory jsonl kind line logs name not observed or parameter parameters primitive promote promotion proof prove py pypi python read real reason receipts repo required return scan scripts searchable signature source step symbol task to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_3edd24d4403d576d09bfa0f6,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.function.py_function_scripts_aidevobserver_pypi_source_scan_append_unique,,planning,canonical_embedding_pending,0a17430f3b88c80952771bf514a3fb152e43e55a071955e46e25f36be6f11a21,116 after aidevobserver append artifact as at before callable candidate code compose dag does enrich evidence function generated graph information inventory key kind line logs name not observed or parameter parameters primitive promote promotion proof prove py pypi python real reason receipts records repo required return scan scripts searchable signature source step symbol task to true unique use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_3b6054ef1aa1177e9e1c5b17,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.function.py_function_scripts_aidevobserver_pypi_source_scan_fetch_pypi_json,,planning,canonical_embedding_pending,24b09b041d6be5e8bd21c3b09ce4d8324fd2fedcf2ee2771d6f87a7a4e0dde4b,131 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence fetch function generated graph information inventory json kind line logs name not observed or package parameter parameters primitive promote promotion proof prove py pypi python real reason receipts repo required return scan scripts searchable signature source step symbol task timeout to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_5074ee9e9cb97f800c4edc3c,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.function.py_function_scripts_aidevobserver_pypi_source_scan_metadata_summary,,planning,canonical_embedding_pending,fc1fe7beca145ff1c09fecfabb5391a58399ceb6a3dc4af1af76615f90fdc8d6,144 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence function generated graph information inventory kind line logs metadata name not observed or parameter parameters payload primitive promote promotion proof prove py pypi python real reason receipts repo required return scan scripts searchable signature source step summary symbol task to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
