mutation_option_id,registry_record_id,mutator_agent_id,from_edge_id,target_edge_template,fit_class,precondition_status,confidence,reason,serves_truth
mutationoption_fe172510cb198befecfe06c1,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_dedupe_headers,mutator:core:output_field_wrapper@candidate,edge_0cf90a89460167baa02578e4,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_bee3b9fae11bff3626cebb49,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_run,mutator:core:output_field_wrapper@candidate,edge_70c86959749a6b8d5c7f58d2,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_33a68ee6e114a98bfe3a145f,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.var.py_var_code_templates_parse_csv_rows_parse_csv_rows_sample,mutator:core:output_field_wrapper@candidate,edge_f63b47d35393359ccb502ce2,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_36262edbc9a402f310c3b34c,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_header_rows,mutator:core:output_field_wrapper@candidate,edge_78b365d6ae81b30d2a4d0a2f,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_7c8c13b9946ffbfad557ef83,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_semicolon_delimiter_and_trim,mutator:core:output_field_wrapper@candidate,edge_9ce4853d55cb671eaf03964a,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_a527f9d4ac4e967645f9ac65,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_no_header_generates_column_names,mutator:core:output_field_wrapper@candidate,edge_5176fdb51a81be2c2cea322c,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_b2ac30e6e99596993834bb1c,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_duplicate_and_blank_headers_are_stable,mutator:core:output_field_wrapper@candidate,edge_04422b16168e916e48d98fd2,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_e36532e57f7df0d57144ed6e,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_missing_cells_are_empty_strings,mutator:core:output_field_wrapper@candidate,edge_648984eb846fe27c91e69446,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_aead28288baf635872cc0721,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_max_rows_truncates,mutator:core:output_field_wrapper@candidate,edge_dd00db096fe175d645136700,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_825acfad11f8d4a0815690ab,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_empty_csv,mutator:core:output_field_wrapper@candidate,edge_c7a254af8c70b096ca671c7b,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_444f9911a385b2c971893c00,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_type_errors,mutator:core:output_field_wrapper@candidate,edge_df9970f4961aafdddd94b831,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_21bbc067edefc93b080c1072,primitive.repo.code_templates_sha256_hash_sha256_hash_py.function.py_function_code_templates_sha256_hash_sha256_hash_run,mutator:core:output_field_wrapper@candidate,edge_860346f1d5aba684195fce7b,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_6eda67a59137893a216159aa,primitive.repo.code_templates_validate_iban_validate_iban_py.const.py_const_code_templates_validate_iban_validate_iban_iban_lengths,mutator:core:output_field_wrapper@candidate,edge_4b40785fd63be411e412d6fe,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_12cea93794ff615ae6e5c581,primitive.repo.code_templates_validate_iban_validate_iban_py.const.py_const_code_templates_validate_iban_validate_iban_iban_re,mutator:core:output_field_wrapper@candidate,edge_42f1bf4f79ef8048a276a6cf,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_9fc290a3fddf22820ab57ec4,primitive.repo.code_templates_validate_iban_validate_iban_py.function.py_function_code_templates_validate_iban_validate_iban_run,mutator:core:output_field_wrapper@candidate,edge_1ddddc8dc0d9450c67f276df,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_19f995898de7ce8a556f0287,primitive.repo.code_templates_validate_luhn_validate_luhn_py.function.py_function_code_templates_validate_luhn_validate_luhn_luhn_check,mutator:core:output_field_wrapper@candidate,edge_21757247f9e4f1e37b052826,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
