registry_record_id,registry_source_id,role,evidence_span,license_status
primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_parse_one,source_14d0fe595b7b9f685a9fe08f,derived_from,"{""line"": 25, ""symbol"": ""parse_one""}",candidate
primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_run,source_14d0fe595b7b9f685a9fe08f,derived_from,"{""line"": 38, ""symbol"": ""run""}",candidate
primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_bool_input,source_d23e2afce48e379cd3e91dee,derived_from,"{""line"": 13, ""symbol"": ""_bool_input""}",candidate
primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_delimiter_input,source_d23e2afce48e379cd3e91dee,derived_from,"{""line"": 21, ""symbol"": ""_delimiter_input""}",candidate
primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_max_rows_input,source_d23e2afce48e379cd3e91dee,derived_from,"{""line"": 31, ""symbol"": ""_max_rows_input""}",candidate
primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_dedupe_headers,source_d23e2afce48e379cd3e91dee,derived_from,"{""line"": 41, ""symbol"": ""_dedupe_headers""}",candidate
primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_run,source_d23e2afce48e379cd3e91dee,derived_from,"{""line"": 52, ""symbol"": ""run""}",candidate
primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.var.py_var_code_templates_parse_csv_rows_parse_csv_rows_sample,source_d23e2afce48e379cd3e91dee,derived_from,"{""line"": 127, ""symbol"": ""sample""}",candidate
primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_header_rows,source_046ff3d5b370acfb4e858992,derived_from,"{""line"": 13, ""symbol"": ""test_header_rows""}",candidate
primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_semicolon_delimiter_and_trim,source_046ff3d5b370acfb4e858992,derived_from,"{""line"": 24, ""symbol"": ""test_semicolon_delimiter_and_trim""}",candidate
primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_no_header_generates_column_names,source_046ff3d5b370acfb4e858992,derived_from,"{""line"": 31, ""symbol"": ""test_no_header_generates_column_names""}",candidate
primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_duplicate_and_blank_headers_are_stable,source_046ff3d5b370acfb4e858992,derived_from,"{""line"": 37, ""symbol"": ""test_duplicate_and_blank_headers_are_stable""}",candidate
primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_missing_cells_are_empty_strings,source_046ff3d5b370acfb4e858992,derived_from,"{""line"": 43, ""symbol"": ""test_missing_cells_are_empty_strings""}",candidate
primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_max_rows_truncates,source_046ff3d5b370acfb4e858992,derived_from,"{""line"": 48, ""symbol"": ""test_max_rows_truncates""}",candidate
primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_empty_csv,source_046ff3d5b370acfb4e858992,derived_from,"{""line"": 55, ""symbol"": ""test_empty_csv""}",candidate
primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_type_errors,source_046ff3d5b370acfb4e858992,derived_from,"{""line"": 65, ""symbol"": ""test_type_errors""}",candidate
primitive.repo.code_templates_sha256_hash_sha256_hash_py.function.py_function_code_templates_sha256_hash_sha256_hash_run,source_f25ee1d65ee145b9b024d24e,derived_from,"{""line"": 8, ""symbol"": ""run""}",candidate
